id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1777465750803.1067,成田,鬼滅の刃 柱稽古編,HYDE × MY FIRST STORY,永久 -トコシエ-,1,,,
1777465750803.745,成田,MFゴースト,芹澤優,ROCK ME KISS ME feat. MOTSU,1,,1,
1777465750803.344,成田,シャングリラ・フロンティア,FZMZ feat. icy,Danger Danger,1,1,1,
1777465750803.7793,成田,【推しの子】,GEMN,ファタール,1,,,
1777465750803.7024,成田,【推しの子】,B小町,サインはB,1,,,
1777465750803.7915,成田,【推しの子】,B小町,STAR☆T☆RAIN,1,,1,
1777465750803.1338,成田,【推しの子】,B小町,HEART's♡KISS,1,,,
1777465750803.6484,成田,【推しの子】,B小町,POP IN 2,1,,,
1777465750803.6934,成田,【推しの子】,B小町,Say What？,1,,,
1777465750803.403,成田,【推しの子】,B小町,深海52Hz,1,,,
1777465750803.8584,成田,俺は全てを【パリイ】する,ウタヒメドリーム オールスターズ,ノーギフテッド,1,,1,
1777465750804.3928,成田,2.5次元の誘惑,天乃リリサ,Watch Me,1,,1,
1777465750804.018,成田,2.5次元の誘惑,天乃リリサ,Release Sigh,1,,1,
1777465750804.749,成田,ATRI -My Dear Moments-,乃木坂46,あの光,1,,,
1777465750804.4827,成田,ATRI -My Dear Moments-,22/7,YESとNOの間に,1,,1,
1777465750804.274,成田,負けヒロインが多すぎる,ぼっちぼろまる,つよがるガール feat. もっさ,1,,1,
1777465750804.638,成田,ウマ娘 プリティーダービー 新時代の扉,ジャングルポケット,Ready!! Steady!! Derby!,1,,,
1777465750804.641,成田,ウマ娘 プリティーダービー 新時代の扉,ジャングルポケット,PRISMATIC SPURT!!!!,1,,,
1777465750804.3452,成田,ウマ娘 プリティーダービー ROAD TO THE TOP,ナリタトップロード,Glorious Moment!,1,,,
1777465750804.6357,成田,デッドデッドデーモンズデデデデデストラクション,ano × 幾田りら,SHINSEKAIより,1,,,
1777465750804.592,成田,デッドデッドデーモンズデデデデデストラクション,ano feat. 幾田りら,絶絶絶絶対聖域,1,1,,
1777465750804.5322,成田,機動戦士ガンダムSEED,Vivian or Kazuma,moment,1,,,
1777465750804.5432,成田,無職転生,LONGMAN,spiral,1,,,
1777465750804.217,成田,暗殺者である俺のステータスが勇者よりも明らかに強いのだが,VESPERBELL,一閃,1,1,,
1777465750804.7314,成田,進化の実～知らないうちに勝ち組人生,サリア,進化→LOVE,1,1,,
1777465750804.049,成田,マクロスF,May'n 中島愛,dシュディスタb,1,,1,
1777465750805.0315,あきらん,前橋ウィッチーズ,前橋ウィッチーズ,夢よ、咲け,1,,1,
1777465750805.0037,あきらん,プリンセッション・オーケストラ,オルケリア,ゼッタイ歌姫宣言ッ,1,,,
1777465750805.951,あきらん,プリンセッション・オーケストラ,オルケリア,君とつなぐオーケストラ,1,,,
1777465750805.5232,あきらん,プリンセッション・オーケストラ,オルケリア,TRIAD FORCE,1,,,
1777465750805.1428,あきらん,俺だけレベルアップな件,LiSA,ReawakeR,1,,,
1777465750805.8606,あきらん,響け!ユーフォニアム,北宇治カルテット,音色の彼方,1,,,
1777465750805.4053,あきらん,鬼滅の刃 柱稽古編,MY FIRST STORY × HYDE,夢幻,1,,,
1777465750805.3774,あきらん,シャングリラ・フロンティア,FZMZ feat. icy,Danger Danger,1,,,
1777465750805.9993,あきらん,【推しの子】,GEMN,ファタール,1,,,
1777465750806.9473,あきらん,【推しの子】,B小町,サインはB,1,,,
1777465750806.2034,あきらん,【推しの子】,B小町,STAR☆T☆RAIN,1,,,
1777465750806.7273,あきらん,【推しの子】,B小町,POP IN 2,1,,,
1777465750806.2075,あきらん,俺は全てを【パリイ】する,ウタヒメドリーム オールスターズ,ノーギフテッド,1,,,
1777465750806.7598,あきらん,2.5次元の誘惑,天乃リリサ,Watch Me,1,,,
1777465750806.662,あきらん,2.5次元の誘惑,天乃リリサ,Release Sigh,1,,,
1777465750806.655,あきらん,負けヒロインが多すぎる,ぼっちぼろまる,つよがるガール feat. もっさ,1,,,
1777465750806.1147,あきらん,ウマ娘 プリティーダービー 新時代の扉,ジャングルポケット,Ready!! Steady!! Derby!,1,,,
1777465750806.934,あきらん,無職転生,LONGMAN,spiral,1,,,
1777465750806.1091,あきらん,ばっどがーる,天狼群,すーぱーびっぐらぶ！,1,,,
1777465750806.7146,あきらん,ばっどがーる,天狼群,BAD SURPRISE,1,,,
1777465750807.1797,あきらん,ぐらんぶる,SEAMO,裸でどつきあい feat.May'n,1,,,
1777465750807.211,あきらん,うたごえはミルフィーユ,うたごえはミルフィーユ,思い出話,1,,,
1777465750807.4248,あきらん,うたごえはミルフィーユ,うたごえはミルフィーユ,うたごえハイシックス,1,,,
